name,votes,rate
Asia Alive - DoubleTree Suites By Hilton,724,4.133333333333333
Asia In A Box,154,3.0933333333333333
Asia Kitchen By Mainland China,42273,4.9
Assi Tussi Lassi,256,3.65
At North Parontha Hut,0,
Athithi,320,2.8
Athithi Grand Restaurant,74,3.0
Atithi,2088,3.838461538461538
Atithi Aharadhama,8,3.2
Atithi Aramane Veg,194,3.9
Atithi Biryani Corner,16,3.3
Atithi Family Bar & Restaurant,217,3.6
Atithi Food Park,0,
Atithi Grand,0,
Atithi Grand Veg Hotel,0,
Atithi Point Ande Ka Funda,116,3.1
Atithi Sambrama,213,3.9
Atithi Satkaar,16,3.2
Atithi Satkar,182,3.7
Atomic Lab,494,3.5
Atta Galata,1046,4.1
Atte Maneya Oota,0,
Attic Lounge,14863,4.0
Atty's Bakery,366,4.0
Aubree,2940,3.5384615384615383
Aubree Le Chocolatier,143,3.55
Auntie Anne's,24,4.0
Auntie Fung's,1773,4.04
Aunty Kitchen,0,
Aura - Radha Regent,348,3.6
Authentic Aandhra,0,
AutoExpress - Hot Dogs,92,3.3666666666666667
Avanti Indian Barbeque & Grill,552,3.4
Avista Cafe Pizzeria,3542,4.5
Avon Bar & Kitchen,1262,3.75
Awadh Biryani,0,
Awesome Biryani,0,
Awesome Foods,284,3.7
Axomi - Taste of Assam,5530,4.088888888888889
Ayda Persian Kitchen,2862,3.85
Ayesha Hotel,0,
Ayodhya Food Line,10,3.4
Ayodhya Sagara,130,3.8
Ayodhya Upachar,1468,4.3
Aysha Restaurant,0,
Ayush Reddy Tiffins & Fast Food Center,0,
Azimmo Treat,378,3.7999999999999994
Azura Restaurant,386,2.8
B & B The Pub,58,3.6
B Bhagat Tarachand,352,4.2
B Penguin Restaurant & Cafe,0,
B'Town Cafe & Restaurant,32,3.5
B-hive,15565,4.3
B.M.W - Bhookh Mitaane Wala,4540,3.677777777777778
B.M.W Bhookh Mitaane Wala,68,3.6166666666666667
B1,492,3.9
B2D Indori Dhaba,22,3.3499999999999996
B52 - Sports Bar,216,3.5
BANGALORE BOX,4959,4.1125
BAR BAR,3009,4.1
BBCUE Whitefield,8,3.5
BBQ King,12,3.4
BBQ Nation Delivery,0,
BBQ Ride 46,56,3.4
BBQ'D - Global Grill & Brewery,4633,4.3
BBQ@52,608,3.8000000000000003
BBxR,22,3.5
BDBD Banashri Davangere Benne Dose Hotel,16,3.7
BEIR,0,3.6
BFC Family Restaurant,1278,3.2000000000000006
BG's Poolside Bar & Grill,645,4.1
BHR Foods,21,3.4
BIB - Breakfast in the Box,1568,3.7357142857142853
BIB-Breakfast In The Box,0,
BIB-Breakfast in the Box,185,3.766666666666667
BISO - Citrus Hotels,3318,3.7363636363636363
BITEBOX,464,4.466666666666667
BJ Bhavan Veg Restaurants,0,
BJM Restaurant & Cafe,0,
BJM Restaurant and Cafe,0,
BLOW,15321,4.28125
BMG Hotel,0,
BMR Cafe,0,
BMR Hyderabad Biryani,168,3.6
BOX8- Desi Meals,8880,4.189285714285714
BR Military Hotel,12,3.1
BS Kolkatta Chats,0,
BTDT? Been There Done That,6485,4.3
BTM,0,
BTM Bawarchi Biryani,792,3.5666666666666664
BTM Cakes,49,3.2999999999999994
BTM Ghar ka Khana,506,3.7
BYLI - Bet You Love It!,4000,4.2
Baahubelly,887,3.723076923076923
Baar Union,3205,4.6
Baba Bhature,22,3.7
Baba Chatkora,8257,4.141666666666667
Baba Da Dhaba,6110,3.9777777777777774
Baba Fattoosh,52,3.6333333333333333
Baba Ka Dhaba,1948,3.7
Baba's Food Center,0,
BabaYaga's,1781,4.05
Babas Kitchen,0,
Babu Moshai,172,3.05
Bachelor's Special Biriyani,12,3.3
Backyard,0,
Bada Bing Burgers,39,3.5
Bade Miyan Kababs,0,
Bademiyan Kebabs,344,3.8
Badey Miyan Chote Miyan,0,
Bageecha,1916,2.1500000000000004
Bahar Cafe,3634,4.0
Baisakhi,2636,3.8
Baithak,8300,4.2
Bajji Corner,0,
Bajji House,49,3.5
Bak'd Goodies,0,
Bake Addiction,726,4.0625
Bake Delite,18,3.7
Bake Feast,0,
Bake Land,30,3.2
Bake Magic,0,
Bake My Day,0,
Bake N Joy,12,3.5
Bake The Cake,4,3.2
Bake a Smile,36,3.4
Bake and Fry,18,3.1
Bake and Juice,196,3.5153846153846158
Bake-A-Luru,0,
Bake-ooh,68,3.7
Baker Ree,44,3.7
Baker's Cafe,24,3.5
Baker's Glove,62,3.375
Baker's Home,708,3.95
Baker's Treat,0,
Bakers 77,0,
Bakers Day,192,3.9
Bakers Paradise,8,3.0
Bakers Town,904,3.6149999999999998
Bakers77,363,3.95
Bakery 24x7,0,
Bakewalk,8,3.3
Bakimo,35,3.5
Baking Delite,0,
Bakingo,768,3.9
Balaji Abhiruchi Multicuisine Restaurant,54,3.4
Balaji Biriyani Corner,0,
Balaji Bombay Vada Pav Gujrati Dalebi,75,3.8
Balaji Foods,0,
Balaji Hotel,0,
Ballava,10,3.3
Balle Balle Dhaba,784,3.6
Balle-Licious Kitchen,342,3.9
Baluchi - The Lalit Ashok Bangalore,134,4.0
Bamboo Heights,674,3.7000000000000006
Bamboo Shades,144,2.7999999999999994
Bamey's Restro Cafe,5862,4.2
BanBay,264,4.0
Banana Beach Bar,16235,3.7
Banana Leaf,54,3.2
Banaras Sweet House,48,3.7
Banarasi Chat Centre,12,3.2
Banarasi Tadka,83,2.72
Banashankari Biriyani,0,
Banashankari Biryani Mane,0,
Banashankari Donne Biriyani,456,3.4428571428571426
Banashankari Nati Style,40,3.6
Banashankari Restaurant,24,3.6
Banashankri Donne Biriyani,0,
Banashree Caterers,0,
Banchharam,1633,3.8923076923076922
Bang - The Ritz-Carlton,4304,4.233333333333333
Bangali Babu Restaurant,4,3.2
Bangaliana,7382,3.596551724137931
Bangalir Rannaghar,116,2.9
Bangalore Agarwal Bhavan,1093,3.477272727272727
Bangalore Biriyani,0,
Bangalore Blooms,0,
Bangalore Brew Works,20032,4.2555555555555555
Bangalore Bytes,1452,3.5
Bangalore Cafe,788,3.7
Bangalore Cakes,34,2.9
Bangalore City Flowers And Cakes,0,
Bangalore Donne Biriyani,20,3.2
Bangalore Durbar Fast Food,39,3.6
Bangalore Express,0,
Bangalore Food Cafe,0,
Bangalore Grill House,12,3.2
Bangalore Hotel,0,
Bangalore Kabab Palace,0,
Bangalore Mandarin,9161,4.220000000000001
Bangalore Masala House,4094,4.15625
Bangalore Pantry,0,
Bangalore Pizza & Pulse Juice Bar,0,
Bangalore Pub Exchange,3450,4.1625
Bangalore Shadi Biriyani,570,3.5
Bangalore Star Biriyani,35,3.4
Bangalore Vibes,16,3.2
Bangarpet Chat Express,30,3.34
Bangarpet Chats,21,3.3666666666666667
Bangarpet Chats Adda,0,
Bangarpet Chats Corner,14,3.3
Banjara Melting Pot,19771,4.2
Bansuri Sweets,1316,3.677777777777778
Bao & Grills,112,3.0
Bao and Rolls,114,3.6
Bar UNO - JW Marriott Bengaluru,653,3.9000000000000004
Barbecoa,5346,4.3
Barbecue by Punjab Grill,2683,4.75
Barbecued - By The Orchard,1776,4.3
Barbeque Delight,1913,3.7222222222222223
Barbeque Nation,108425,4.492682926829269
Barbeque Station,1670,2.8
Barcode,2205,3.8
Bare Grills,0,
Barebones - The Balcony Bar,7335,4.2
Barista,734,3.59
Barkaas,374,4.25
Barkat,29,3.4
Barley & Grapes Cafe,1685,4.2
Barleyz,74448,3.75
Basava Bhavana (B2),0,
Basava Hotel,0,
Basavanagudi Mylari,105,4.0
