location,cuisines,approx_cost(for two people)
BTM,"South Indian, North Indian",225.0
BTM,"South Indian, North Indian, Chinese",383.3333333333333
BTM,"South Indian, North Indian, Chinese, Street Food",300.0
BTM,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0
BTM,"South Indian, North Indian, Chinese, Street Food, Juices",250.0
BTM,"South Indian, North Indian, Fast Food",800.0
BTM,"South Indian, North Indian, Street Food",200.0
BTM,"South Indian, Seafood",300.0
BTM,"South Indian, Seafood, Biryani",300.0
BTM,Street Food,143.47826086956522
BTM,"Street Food, Beverages",150.0
BTM,"Street Food, Fast Food",226.47058823529412
BTM,"Street Food, Juices",200.0
BTM,"Street Food, Mithai",177.77777777777777
BTM,"Street Food, North Indian",275.0
BTM,"Street Food, North Indian, South Indian",150.0
BTM,Tea,150.0
BTM,"Tea, Beverages",200.0
BTM,"Tea, Beverages, Fast Food",250.0
BTM,"Tea, Beverages, Street Food",200.0
BTM,"Tea, Fast Food",150.0
BTM,"Tibetan, Momos",258.3333333333333
BTM,"Turkish, Rolls",300.0
Banashankari,Andhra,275.0
Banashankari,"Andhra, Biryani",150.0
Banashankari,Arabian,300.0
Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0
Banashankari,Bakery,300.0
Banashankari,"Bakery, Desserts",378.0
Banashankari,Beverages,250.0
Banashankari,"Beverages, Desserts, Ice Cream",400.0
Banashankari,"Beverages, Fast Food, Juices",150.0
Banashankari,"Beverages, Ice Cream, Fast Food",300.0
Banashankari,"Beverages, Juices",200.0
Banashankari,"Beverages, Juices, Desserts, Italian",300.0
Banashankari,"Beverages, Sandwich",80.0
Banashankari,Biryani,297.05882352941177
Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700.0
Banashankari,"Biryani, Chinese, Kebab",300.0
Banashankari,"Biryani, Chinese, North Indian",250.0
Banashankari,"Biryani, Chinese, South Indian, North Indian",350.0
Banashankari,"Biryani, Fast Food",360.0
Banashankari,"Biryani, Kebab",150.0
Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0
Banashankari,"Biryani, North Indian, Seafood, Andhra",650.0
Banashankari,"Biryani, Rolls, Chinese",200.0
Banashankari,"Biryani, South Indian",300.0
Banashankari,"Burger, Fast Food",470.0
Banashankari,Cafe,573.3333333333334
Banashankari,"Cafe, Bakery",600.0
Banashankari,"Cafe, Chinese, Continental, Italian",430.0
Banashankari,"Cafe, Continental",450.0
Banashankari,"Cafe, Fast Food",830.0
Banashankari,"Cafe, Fast Food, Beverages",500.0
Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800.0
Banashankari,"Cafe, French, North Indian",400.0
Banashankari,"Cafe, Italian, American",300.0
Banashankari,"Cafe, Italian, Continental",643.75
Banashankari,"Cafe, Mexican, Italian",800.0
Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0
Banashankari,"Cafe, Pizza, Fast Food, Beverages",500.0
Banashankari,"Cafe, South Indian",200.0
Banashankari,"Chinese, Cafe, Italian",700.0
